Gene_ID,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000249673.1,NOP14-AS1,462.5684991,348.8142871,508.9987897,-0.6459198289,0.123731468,-5.220335937,1.79E-07,1.42E-05
ENSG00000111652.5,COPS7A,3307.642601,2735.296036,3541.253444,-0.496520502,0.09513686971,-5.219012393,1.80E-07,1.43E-05
ENSG00000042062.7,FAM65C,159.6575613,258.9766817,119.1191449,1.132880045,0.217133408,5.217437776,1.81E-07,1.43E-05
ENSG00000145882.6,PCYOX1L,895.1070689,636.3591668,1000.718458,-0.704054597,0.1349285639,-5.217980366,1.81E-07,1.43E-05
ENSG00000152518.5,ZFP36L2,1402.730286,2114.523391,1112.202488,1.06388548,0.2039016903,5.217639338,1.81E-07,1.43E-05
ENSG00000177426.15,TGIF1,236.8491893,318.6854627,203.4466287,1.100946796,0.211033833,5.216920815,1.82E-07,1.43E-05
ENSG00000151650.7,VENTX,34.16399195,51.7527927,26.98488961,1.568115205,0.3007223671,5.214494751,1.84E-07,1.44E-05
ENSG00000159212.8,CLIC6,30.93997518,73.99695097,13.36569935,2.267488978,0.4348391399,5.214546646,1.84E-07,1.44E-05
ENSG00000061455.9,PRDM6,37.50861255,75.0873675,22.17034523,1.565688585,0.3004465562,5.211204965,1.88E-07,1.46E-05
ENSG00000132256.14,TRIM5,124.3051951,174.8161065,103.6884966,0.9821989752,0.1884872189,5.210957968,1.88E-07,1.46E-05
ENSG00000092531.5,SNAP23,572.4266699,713.6472242,514.7856273,0.6786344591,0.1302528835,5.210130025,1.89E-07,1.46E-05
ENSG00000266372.1,AC092849.1,2.241155671,0.04950710565,3.135706106,-2.551124415,0.4899493675,-5.206914396,1.92E-07,1.48E-05
ENSG00000156097.8,GPR61,358.8438405,251.1832575,402.7869357,-0.8452567633,0.1624910569,-5.201866364,1.97E-07,1.52E-05
ENSG00000135477.7,KRT121P,2.04012807,0.3471603821,2.73113529,-2.290613086,0.4407303017,-5.197312455,2.02E-07,1.55E-05
ENSG00000102710.15,SUPT20H,1079.998643,1302.570535,989.1529726,0.517715175,0.09964945642,5.195363764,2.04E-07,1.56E-05
ENSG00000136279.14,DBNL,2913.205557,2437.06097,3107.550287,-0.4391083396,0.08451576588,-5.195579014,2.04E-07,1.56E-05
ENSG00000131885.12,KRT17P1,201.0388863,99.37981118,242.5323863,-1.290566252,0.2485718121,-5.191925187,2.08E-07,1.58E-05
ENSG00000147437.5,GNRH1,108.1877472,157.6694294,87.99114218,0.8832981166,0.1701150027,5.192358715,2.08E-07,1.58E-05
ENSG00000158526.7,TSR2,2930.207113,2391.155666,3150.228112,-0.4976355495,0.09590161421,-5.18902162,2.11E-07,1.60E-05
ENSG00000057252.8,SOAT1,473.6438066,565.4473736,436.1729629,0.588509623,0.1134927286,5.185439017,2.16E-07,1.62E-05
ENSG00000104415.9,WISP1,11.00387901,20.12313409,7.281734074,1.482836852,0.2859442315,5.185755432,2.15E-07,1.62E-05
ENSG00000120690.9,ELF1,383.6502872,524.7175716,326.0718038,0.9113844796,0.175738828,5.186016602,2.15E-07,1.62E-05
ENSG00000196972.6,LINC00087,1665.033977,1126.868438,1884.693381,-0.9007232398,0.1738385656,-5.181377542,2.20E-07,1.65E-05
ENSG00000158869.6,FCER1G,217.9228653,329.1027899,172.5433042,1.433867006,0.2768005099,5.180145824,2.22E-07,1.66E-05
ENSG00000228058.1,RP11-552D4.1,89.93981435,163.0036284,60.11784941,1.554494584,0.3002997104,5.176477133,2.26E-07,1.68E-05
ENSG00000163462.13,TRIM46,890.4124592,618.8285487,1001.263035,-0.715173109,0.1383643933,-5.168765547,2.36E-07,1.75E-05
ENSG00000197405.3,C5AR1,113.725625,191.4846837,81.98723364,1.395913941,0.270168454,5.16682803,2.38E-07,1.76E-05
ENSG00000172831.7,CES2,1501.456908,1263.197151,1598.705789,-0.5190334553,0.1005673601,-5.161052797,2.46E-07,1.81E-05
ENSG00000180198.11,RCC1,190.3336332,268.8391601,158.290561,0.7808360064,0.1512899319,5.16118949,2.45E-07,1.81E-05
ENSG00000159650.4,UROC1,12.85866829,6.642243677,15.39598446,-1.194129633,0.2315162535,-5.157865225,2.50E-07,1.84E-05
ENSG00000187048.8,CYP4A11,12.54229249,6.74129252,14.91004758,-1.338305993,0.2595414442,-5.156425005,2.52E-07,1.85E-05
